DOT,Legal_Name,Business_Address,Business_City,business_county,Business_State,Business_ZIP,Years_In_Business,Number Of Trucks ,Number Of Driver,Yearly Premium,BIPD_Required,Insurer,Filing_Locale,Building_Materials,Chemicals,Coal_Coke,Commodities_Dry_Bulk,Construction,Drive_Away_Towaway,Farm_Supplies,Fresh_Produce,Grain_Feed_Hay,Garbage_Refuse_Trash,General_Freight,Household_Goods,Intermodal_Cont,Liquid_Gas,Livestock,Logs_Poles_Beams_Lumber,Machinery_Large_Objects,Meat,Metal_Sheets_Coil_Rolls,Mobil_Homes,Motor_Vehicle,Oil_Field_Equipment,Paper_Product,Passengers,Refrigerated_Food,US_Mail,Utility,Water_Well,Interstate,Intrastate_Hazmat,Intrastate_Non_Hazmat,Authorized_For_Hire,Exempt_For_Hire,Private_Property,Private_Passenger_Business,Private_Passenger_Non_Businesss,Migrant,US_Mail_Class,Federal_Gov,State_Gov,Local_Gov,Other,Passenger_Auth,Household_Auth,Hazmat,OOS,Inspection_Radius,Safety_Rating,Safety_Rating_Date,ISS,issSource,Unsafe_Driving_Score,Unsafe_Driving_Alert,HOS_Score,HOS_Alert,Driver_Fitness_Score,Driver_Fitness_Alert,Controlled_Substance_Score,Controlled_Substance_Alert,Vehicle_Maintenance_Score,Vehicle_Maintenance_Alert,Hazmat_Score,Hazmat_Alert,Crash_Score,Crash_Alert
774244,MASTEC NORTH AMERICA INC,800 S DOUGLAS RD,CORAL GABLES,MIAMI-DADE,FL,33134,23,2132,1849,38376000,,ACE AMERICAN INSURANCE COMPANY,Texas,X,,,,X,,,,,,X,,,,,X,X,,X,,X,,,,,,X,,X,,,,,X,,,,,,,,,,,N,N,2724,SATISFACTORY,8/23/2000,95,Safety,9,,40,,98,Y,0,,94,Y,,,44,
774244,MASTEC NORTH AMERICA INC,800 S DOUGLAS RD,CORAL GABLES,MIAMI-DADE,FL,33134,23,2132,1849,38376000,,R&Q REINSURANCE COMPANY,Texas,X,,,,X,,,,,,X,,,,,X,X,,X,,X,,,,,,X,,X,,,,,X,,,,,,,,,,,N,N,2724,SATISFACTORY,8/23/2000,95,Safety,9,,40,,98,Y,0,,94,Y,,,44,
88111,HD SUPPLY INC,501 W CHURCH STREET,ORLANDO,ORANGE,FL,32805,48,1683,1932,30294000,1000,NATIONAL UNION FIRE INS. CO. OF PITSBGH. PA,Federal,X,X,,,X,,,,,,X,,,X,,X,X,,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,Y,N,2619,SATISFACTORY,3/22/1988,29,Safety,4,,,,51,,4,,18,,,,4,
88111,HD SUPPLY INC,501 W CHURCH STREET,ORLANDO,ORANGE,FL,32805,48,1683,1932,30294000,1000,"NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURGH, PA.",Texas,X,X,,,X,,,,,,X,,,X,,X,X,,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,Y,N,2619,SATISFACTORY,3/22/1988,29,Safety,4,,,,51,,4,,18,,,,4,
1537209,NEW LINE TRANSPORT LLC,1204 NW 137TH AVE,MIAMI,MIAMI-DADE,FL,33182,15,1136,1035,20448000,750,LIBERTY MUTUAL FIRE INSURANCE COMPANY,Texas,X,,,X,,,,,,,X,,,,,X,X,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,1825,SATISFACTORY,7/20/2009,97,Safety,5,,69,Y,42,,0,Y,98,Y,,,81,Y
1537209,NEW LINE TRANSPORT LLC,1204 NW 137TH AVE,MIAMI,MIAMI-DADE,FL,33182,15,1136,1035,20448000,750,NATIONAL UNION FIRE INS. CO. OF PITSBGH. PA,Federal,X,,,X,,,,,,,X,,,,,X,X,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,1825,SATISFACTORY,7/20/2009,97,Safety,5,,69,Y,42,,0,Y,98,Y,,,81,Y
1537209,NEW LINE TRANSPORT LLC,1204 NW 137TH AVE,MIAMI,MIAMI-DADE,FL,33182,15,1136,1035,20448000,0,LIBERTY MUTUAL FIRE INSURANCE COMPANY,Texas,X,,,X,,,,,,,X,,,,,X,X,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,1825,SATISFACTORY,7/20/2009,97,Safety,5,,69,Y,42,,0,Y,98,Y,,,81,Y
1537209,NEW LINE TRANSPORT LLC,1204 NW 137TH AVE,MIAMI,MIAMI-DADE,FL,33182,15,1136,1035,20448000,0,NATIONAL UNION FIRE INS. CO. OF PITSBGH. PA,Federal,X,,,X,,,,,,,X,,,,,X,X,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,1825,SATISFACTORY,7/20/2009,97,Safety,5,,69,Y,42,,0,Y,98,Y,,,81,Y
1397252,PODS ENTERPRISES LLC,13535 FEATHER SOUND DRIVE 4TH,CLEARWATER,PINELLAS,FL,33762,16,1044,1300,18792000,750,CONTINENTAL CASUALTY CO.,Federal,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,2531,,,90,Safety,43,,,,89,Y,0,,43,,,,67,Y
1397252,PODS ENTERPRISES LLC,13535 FEATHER SOUND DRIVE 4TH,CLEARWATER,PINELLAS,FL,33762,16,1044,1300,18792000,750,CONTINENTAL CASUALTY COMPANY,Texas,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,2531,,,90,Safety,43,,,,89,Y,0,,43,,,,67,Y
1397252,PODS ENTERPRISES LLC,13535 FEATHER SOUND DRIVE 4TH,CLEARWATER,PINELLAS,FL,33762,16,1044,1300,18792000,750,LIBERTY MUTUAL FIRE INSURANCE CO.,Federal,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,2531,,,90,Safety,43,,,,89,Y,0,,43,,,,67,Y
372163,HERC RENTALS INC,27500 RIVERVIEW CENTER BLVD BLDG 7 #100,BONITA SPRINGS,LEE,FL,34134,32,913,1635,16434000,750,ACE AMERICAN INSURANCE COMPANY,Federal,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,4751,SATISFACTORY,10/18/2000,62,Safety,8,,7,,89,Y,3,,36,,,,7,
372163,HERC RENTALS INC,27500 RIVERVIEW CENTER BLVD BLDG 7 #100,BONITA SPRINGS,LEE,FL,34134,32,913,1635,16434000,750,"NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURGH, PA.",Texas,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,4751,SATISFACTORY,10/18/2000,62,Safety,8,,7,,89,Y,3,,36,,,,7,
1196553,SADDLE CREEK TRANSPORTATION INC,3010 SADDLE CREEK ROAD,LAKELAND,POLK,FL,33801,18,471,581,8478000,750,ZURICH AMERICAN INSURANCE COMPANY,Federal,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,1001,SATISFACTORY,3/1/2007,60,Safety,38,,37,,,,0,,76,,,,93,Y
1196553,SADDLE CREEK TRANSPORTATION INC,3010 SADDLE CREEK ROAD,LAKELAND,POLK,FL,33801,18,471,581,8478000,750,ZURICH AMERICAN INSURANCE COMPANY,Texas,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,1001,SATISFACTORY,3/1/2007,60,Safety,38,,37,,,,0,,76,,,,93,Y
1348167,US 1 LOGISTICS LLC,203 FORT WADE RD SUITE 320,PONTE VEDRA,SAINT JOHNS,FL,32081,17,384,533,6912000,0,,,,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,2449,SATISFACTORY,6/1/2009,94,Safety,19,,79,Y,,,0,,94,Y,,,43,
1348167,US 1 LOGISTICS LLC,203 FORT WADE RD SUITE 320,PONTE VEDRA,SAINT JOHNS,FL,32081,17,384,533,6912000,1000,HUDSON INSURANCE COMPANY,Federal,,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,2449,SATISFACTORY,6/1/2009,94,Safety,19,,79,Y,,,0,,94,Y,,,43,
798981,SERVICE PARTNERS LLC,475 N WILLIAMSON BLVD,DAYTONA BEACH,VOLUSIA,FL,32114,23,375,251,6750000,,OLD REPUBLIC INSURANCE COMPANY,Texas,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,N,N,2571,,,31,Safety,43,,29,,,,0,,26,,,,12,
1771456,ACADEMY BUS LLC,4160 RAVENSWOOD RD,DANIA BEACH,BROWARD,FL,33312,14,365,303,6570000,5000,NATIONAL UNION FIRE INS. CO. OF PITSBGH. PA,Federal,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,,X,,N,N,1074,SATISFACTORY,2/11/2019,20,Safety,0,,0,,0,,0,,0,,,,5,
1771456,ACADEMY BUS LLC,4160 RAVENSWOOD RD,DANIA BEACH,BROWARD,FL,33312,14,365,303,6570000,5000,PHILADELPHIA INDEMNITY INSURANCE COMPANY,Federal,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,,X,,N,N,1074,SATISFACTORY,2/11/2019,20,Safety,0,,0,,0,,0,,0,,,,5,
1938017,CUSTOMIZED TRUCKING SERVICES INC,8200 NATIONS WAY,JACKSONVILLE,DUVAL,FL,32256,12,350,350,6300000,5000,OLD REPUBLIC INSURANCE CO.,Federal,,,,,,,,,,,X,X,X,X,,,,,,,,,X,,X,,,,X,,,X,,,,,,,,,,,,,Y,N,1679,,,97,Safety,62,Y,70,Y,78,Y,0,,81,Y,91,Y,9,
1938017,CUSTOMIZED TRUCKING SERVICES INC,8200 NATIONS WAY,JACKSONVILLE,DUVAL,FL,32256,12,350,350,6300000,5000,UNDERWRITERS AT LLOYDS LONDON,Federal,,,,,,,,,,,X,X,X,X,,,,,,,,,X,,X,,,,X,,,X,,,,,,,,,,,,,Y,N,1679,,,97,Safety,62,Y,70,Y,78,Y,0,,81,Y,91,Y,9,
191101,MCKESSON MEDICAL SURGICAL INC,9954 MAYLAND DRIVE,RICHMOND,HENRICO,VA,23233,48,315,492,5670000,,OLD REPUBLIC INSURANCE COMPANY,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,X,,,Y,N,2427,,,29,Safety,4,,,,48,,,,19,,,,16,
920098,FEC HIGHWAY SERVICES LLC,7150 PHILLIPS HIGHWAY,JACKSONVILLE,DUVAL,FL,32256,21,296,296,5328000,1000,AGCS MARINE INSURANCE COMPANY,Federal,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,X,Y,N,400,SATISFACTORY,5/8/2002,91,Safety,3,,67,Y,0,,0,,90,Y,,,1,
920098,FEC HIGHWAY SERVICES LLC,7150 PHILLIPS HIGHWAY,JACKSONVILLE,DUVAL,FL,32256,21,296,296,5328000,1000,CAROLINA CASUALTY INSURANCE CO.,Federal,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,X,Y,N,400,SATISFACTORY,5/8/2002,91,Safety,3,,67,Y,0,,0,,90,Y,,,1,
158592,PRITCHETT TRUCKING INC,1050 SE 6TH ST,LAKE BUTLER,UNION,FL,32054-2740,48,275,255,4950000,1000,NATIONAL CASUALTY COMPANY,Federal,,,,,,,,,,X,X,,,,,X,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,906,SATISFACTORY,7/17/2007,74,Safety,11,,23,,,,0,,89,Y,,,47,
158592,PRITCHETT TRUCKING INC,1050 SE 6TH ST,LAKE BUTLER,UNION,FL,32054-2740,48,275,255,4950000,1000,"NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURGH, PA.",Texas,,,,,,,,,,X,X,,,,,X,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,906,SATISFACTORY,7/17/2007,74,Safety,11,,23,,,,0,,89,Y,,,47,
825788,DADE PAPER & BAG LLC,9601 NW 112TH AVE,MIAMI,MIAMI-DADE,FL,33178,22,273,273,4914000,1000,SAFETY NATIONAL CASUALTY CORPORATION,Federal,,X,,,,,,,,,X,,X,,,,,,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,Y,N,1333,,,34,Safety,48,,23,,62,,13,,32,,,,46,
190616,WALPOLE INC,269 NW 9TH STREET,OKEECHOBEE,OKEECHOBEE,FL,34972,48,272,271,4896000,1000,UNITED STATES FIRE INSURANCE CO.,Federal,,X,X,X,,,X,,X,X,X,,,X,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,931,SATISFACTORY,3/29/2001,35,Safety,3,,33,,,,0,,25,,,,59,
438639,LANDSTAR EXPRESS AMERICA INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,31,258,371,4644000,0,OLD REPUBLIC INSURANCE COMPANY,Texas,X,X,,,X,,,X,,,X,,X,,,X,X,,X,,,,X,,,X,,,X,,,X,,,,,,,,,,,,,Y,N,2473,SATISFACTORY,11/14/1995,30,Safety,10,,41,,0,,0,,15,,25,,2,
438639,LANDSTAR EXPRESS AMERICA INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,31,258,371,4644000,5000,OLD REPUBLIC INSURANCE COMPANY,Texas,X,X,,,X,,,X,,,X,,X,,,X,X,,X,,,,X,,,X,,,X,,,X,,,,,,,,,,,,X,Y,N,2473,SATISFACTORY,11/14/1995,30,Safety,10,,41,,0,,0,,15,,25,,2,
438639,LANDSTAR EXPRESS AMERICA INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,31,258,371,4644000,5000,SELF-INSURED,Federal,X,X,,,X,,,X,,,X,,X,,,X,X,,X,,,,X,,,X,,,X,,,X,,,,,,,,,,,,X,Y,N,2473,SATISFACTORY,11/14/1995,30,Safety,10,,41,,0,,0,,15,,25,,2,
438639,LANDSTAR EXPRESS AMERICA INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,31,258,371,4644000,5000,TRAVELERS PROPERTY CASUALTY CO.  OF AMERICA,Federal,X,X,,,X,,,X,,,X,,X,,,X,X,,X,,,,X,,,X,,,X,,,X,,,,,,,,,,,,X,Y,N,2473,SATISFACTORY,11/14/1995,30,Safety,10,,41,,0,,0,,15,,25,,2,
2539656,RAVEN TRANSPORT HOLDING INC,7150 PHILLIPS HIGHWAY,JACKSONVILLE,DUVAL,FL,32256,7,256,245,4608000,750,LIBERTY MUTUAL FIRE INSURANCE CO.,Federal,,,,,,,,,,,X,X,X,,,,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,N,N,630,SATISFACTORY,2/1/2019,44,Safety,21,,49,,,,0,,67,,,,37,
873816,ANIXTER INC,2301 PATRIOT BLVD 1N,GLENVIEW,COOK,IL,60026,22,217,259,3906000,,ACE AMERICAN INSURANCE COMPANY,Texas,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,N,N,1812,,,39,Safety,4,,32,,,,0,,43,,,,14,
1284430,NORTH AMERICAN TRANSPORT SERVICES LLC,160 ALI-BABA AVENUE,OPA LOCKA,MIAMI-DADE,FL,33054,17,200,220,3600000,1000,NORTHLAND INSURANCE COMPANY,Federal,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,Y,N,1692,SATISFACTORY,11/18/2011,38,Safety,61,,39,,,,10,,56,,,,4,
578807,NUCO2 SUPPLY LLC,2800 SE MARKET PLACE,STUART,MARTIN,FL,34997,27,195,761,3510000,,LIBERTY MUTUAL FIRE INSURANCE COMPANY,Texas,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,Y,N,2717,SATISFACTORY,5/25/2000,23,Safety,23,,4,,48,,0,,8,,19,,26,
1575970,FREEDOM 1 LLC,203 FORT WADE RD SUITE 320,PONTE VEDRA,SAINT JOHNS,FL,32081,15,194,187,3492000,1000,HUDSON INSURANCE COMPANY,Federal,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,2368,SATISFACTORY,2/5/2013,96,Safety,58,,87,Y,,,2,,97,Y,,,85,Y
250593,SEABOARD MARINE LTD INC,8001 NW 79 AVENUE,MIAMI,MIAMI-DADE,FL,33166,37,188,188,3384000,5000,ACE AMERICAN INSURANCE COMPANY,Federal,X,X,,,,,,X,,,X,X,X,X,,X,X,,X,,X,,X,,X,,,,X,,,X,,,,,,,,,,,,,Y,N,1244,SATISFACTORY,3/17/2022,89,Safety,8,,70,Y,,,0,,54,,,,78,Y
250593,SEABOARD MARINE LTD INC,8001 NW 79 AVENUE,MIAMI,MIAMI-DADE,FL,33166,37,188,188,3384000,5000,PROTECTIVE INSURANCE CO.,Federal,X,X,,,,,,X,,,X,X,X,X,,X,X,,X,,X,,X,,X,,,,X,,,X,,,,,,,,,,,,,Y,N,1244,SATISFACTORY,3/17/2022,89,Safety,8,,70,Y,,,0,,54,,,,78,Y
1037583,CAREER PATH TRAINING CORP,11300 4TH STREET NORTH,ST PETERSBURG,PINELLAS,FL,33716,19,185,619,3330000,,ACE AMERICAN INSURANCE COMPANY,Texas,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,N,N,836,,,37,Safety,0,,0,,,,0,,40,,,,,
1262324,O & M TRUCKING CO LLC,2808 N FIFTH STREET SUITE 504,ST AUGUSTINE,SAINT JOHNS,FL,32084,17,167,167,3006000,750,UNDERWRITERS AT LLOYDS LONDON,Federal,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,X,,,X,,,,,,,,,,,,,N,N,1623,,,95,Safety,36,,79,Y,96,Y,16,,34,,,,48,
1698514,OWL INC,87 COLES CT,SAINT JOHNS,SAINT JOHNS,FL,32259,14,166,366,2988000,1500,TRAVELERS PROPERTY CASUALTY CO.  OF AMERICA,Federal,,,,,,,X,X,,,X,,,,,,,,,,,,X,X,X,,X,,X,,,X,,X,X,,,,X,X,X,,X,,N,N,882,,,35,Safety,0,,,,,,0,,29,,,,,
304746,CUSTOMIZED LOGISTICS SERVICES INC,8200 NATIONS WAY,JACKSONVILLE,DUVAL,FL,32256-4434,34,164,164,2952000,5000,OLD REPUBLIC INSURANCE CO.,Federal,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,2071,SATISFACTORY,5/15/1991,43,Safety,28,,51,,,,,,55,,,,20,
304746,CUSTOMIZED LOGISTICS SERVICES INC,8200 NATIONS WAY,JACKSONVILLE,DUVAL,FL,32256-4434,34,164,164,2952000,5000,UNDERWRITERS AT LLOYDS LONDON,Federal,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,2071,SATISFACTORY,5/15/1991,43,Safety,28,,51,,,,,,55,,,,20,
3428243,USP HOME LLC,2251 LYNX LN STE 5,ORLANDO,ORANGE,FL,32804,2,151,108,2718000,750,RIVERPORT INSURANCE COMPANY,Federal,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,N,N,1549,,,91,Safety,81,Y,38,,98,Y,16,,53,,,,89,Y
697429,TMS LOGISTICS INC,238 S COMMERCE ST,CEDAR GROVE,SHEBOYGAN,WI,53013,24,142,178,2556000,750,ARCH INSURANCE COMPANY,Federal,X,,,X,,,X,X,,X,X,,,,,,,,X,,,,X,,X,,,,X,,,X,,,,,,,,,,,,,N,N,1689,SATISFACTORY,12/27/2000,85,Safety,24,,82,Y,,,26,,38,,,,16,
947398,SUNSTATE CARRIERS INC,726 SOUTHRIDGE INDUSTRIAL DR,TAVARES,LAKE,FL,32778,21,142,118,2556000,750,NATIONAL INTERSTATE INSURANCE COMPANY,Federal,,,,,,,,X,,,X,,,,,,,X,,,,,X,,X,,,,X,,,X,,,,,,,,,,,,,N,N,1302,SATISFACTORY,12/17/2007,39,Safety,38,,56,,0,,0,,45,,,,33,
1755933,AGX FREIGHT CARRIERS LLC,18342 WEST CREEK DRIVE,TINLEY PARK,COOK,IL,60477,14,141,141,2538000,750,CAROLINA CASUALTY INSURANCE CO.,Federal,X,X,,,,,X,X,,,X,,X,,,,X,,X,,,X,X,,X,,,,X,,,X,,,,,,,,,,,,,Y,N,1818,,,86,Safety,46,,83,Y,,,12,,61,,,,19,
1784731,C & W GLOBAL INC,703 HENNIS RD,WINTER GARDEN,ORANGE,FL,34787,13,138,130,2484000,1000,HUDSON INSURANCE COMPANY,Federal,X,,X,X,X,,,,X,X,X,,,,,X,X,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,1070,SATISFACTORY,2/22/2010,44,Safety,11,,15,,,,10,,70,,,,56,
1784731,C & W GLOBAL INC,703 HENNIS RD,WINTER GARDEN,ORANGE,FL,34787,13,138,130,2484000,1000,HUDSON INSURANCE COMPANY,Texas,X,,X,X,X,,,,X,X,X,,,,,X,X,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,Y,N,1070,SATISFACTORY,2/22/2010,44,Safety,11,,15,,,,10,,70,,,,56,
512428,SYSCO CENTRAL FLORIDA INC,200 WEST STORY RD,OCOEE,ORANGE,FL,34761,29,131,134,2358000,750,ZURICH AMERICAN INSURANCE COMPANY,Federal,,,,X,,,,X,,,,,,,,,,X,,,,,X,,X,,,,X,,,X,,X,,,,,,,,,,,N,N,126,,,43,Safety,,,0,,0,,0,,,,,,39,
610514,SYSCO WEST COAST FLORIDA INC,3000 69TH STREET EAST,PALMETTO,MANATEE,FL,34221,26,127,120,2286000,750,ZURICH AMERICAN INSURANCE COMPANY,Federal,,X,,X,,,,X,,,,,,,,,,X,,,,,X,,X,,,,X,,,X,,X,,,,,,,,,,,N,N,155,,,46,Safety,,,0,,0,,0,,,,,,3,
