DOT,Legal_Name,Business_State,business_county,County ,ISS,Years_In_Business,Number Of Trucks ,Yearly Premium
2600014,IGPS LOGISTICS LLC,FL,ORANGE,Normal,27,7,20,296000
2600014,IGPS LOGISTICS LLC,FL,ORANGE,Normal,27,7,20,296000
2600014,IGPS LOGISTICS LLC,FL,ORANGE,Normal,27,7,20,296000
374067,FLETCHER'S TOWING INC,FL,ESCAMBIA,Normal,27,32,15,221000
2897684,GJ & 4K LLC,FL,ESCAMBIA,Normal,27,6,7,101000
2901952,LADR TRANSPORT INC,FL,MIAMI-DADE,High Risk,27,6,6,88500
2425831,CONVOY TRANSPORT LLC,FL,SAINT LUCIE,Normal,27,8,5,81000
2635697,MASHTALIR USA CORP,FL,PINELLAS,Normal,27,7,4,64000
3036022,NR GLOBAL LLC,FL,BROWARD,Normal,27,4,4,66000
2332330,AMERICAN EAGLE TRANSPORT LLC,FL,BREVARD,Normal,27,9,3,47000
2491662,O & R TRUCKING LLC,FL,HILLSBOROUGH,Normal,27,8,3,47000
2918875,USA PROFESSIONAL TRANSPORT INC,FL,HILLSBOROUGH,Normal,27,5,3,49000
3057795,M V GRACE TRUCKING CORP,FL,MIAMI-DADE,High Risk,27,4,3,51500
3186157,MATEO ENTERPRISE LLC,FL,OSCEOLA,Normal,27,3,2,32000
3415422,JEFE TRUCKING & EXPRESS LLC,NC,MECKLENBURG,Normal,27,2,2,32000
1506214,BELLA TRUCKING CORP,FL,MIAMI-DADE,High Risk,27,16,1,15500
2597871,CCM TRANSPORT LLC,FL,ALACHUA,Normal,27,7,1,13000
2909056,TRUST FREIGHT TRANSPORT INC,FL,ORANGE,Normal,27,5,1,15000
3017000,RE-TECH LOGISTICS CORP,FL,BROWARD,Normal,27,5,1,15000
3469134,LULUAL TRANSPORT LLC,FL,MIAMI-DADE,High Risk,27,1,1,17500
3479925,FIGUEREDOJ TRUCKING CORPORATION,FL,HILLSBOROUGH,Normal,27,1,1,15000
2927317,LUXURY EXPRESS LLC,FL,ORANGE,Normal,27,5,1,15000
223283,FLORIDA TRAILS INC,FL,HIGHLANDS,Normal,26,39,50,746000
1249279,MOTORCOACH CLASS A TRANSPORTATION INC,FL,ORANGE,Normal,26,18,23,341000
999970,MCBC MEDICAL DELIVERY SERVICES LLC,FL,HILLSBOROUGH,Normal,26,20,40,596000
3451003,MP SUPER TRANSPORT CORP,FL,MIAMI-DADE,High Risk,26,1,1,17500
1496961,TRANS VAN LINES LLC,FL,BROWARD,Normal,26,16,6,86000
2800946,JF XPRESS TRANSPORT INC,FL,MONROE,Normal,26,6,5,81000
3168341,AMERICAS MOVERS INC,FL,MIAMI-DADE,High Risk,26,3,5,85500
3411121,GRAF TRANSPORTATION INC,FL,SARASOTA,Normal,26,2,5,83000
1647595,ANN TRANSPORT INC,FL,SAINT JOHNS,Normal,26,15,4,64000
2178936,R I T E WAY TRUCKING INC,FL,BROWARD,Normal,26,10,4,64000
2470194,JJR EXPRESS INC,FL,MIAMI-DADE,High Risk,26,8,3,49500
2788273,KF TRUCKING LLC,FL,VOLUSIA,Normal,26,6,3,47000
2517693,CLOWE SERVICES INC,FL,SAINT LUCIE,Normal,26,8,2,30000
2725891,NTS NATIONAL TRUCKING SERVICE CORP,FL,MIAMI-DADE,High Risk,26,6,2,32500
2925363,DARIO TRANSPORT SERVICES INC,FL,OSCEOLA,Normal,26,5,2,32000
3082753,ON WINGS LLC,FL,DUVAL,Normal,26,4,2,32000
3392953,TRADEWAYS GROUP LLC,FL,BREVARD,Normal,26,2,2,32000
3532458,C&R ROYALTIES LLC,FL,ESCAMBIA,Normal,26,1,2,32000
1967667,MOVING SERVICES TRANSPORTATION INC,FL,MIAMI-DADE,High Risk,26,12,1,15500
2316633,MDI TRUCKING INC,FL,PASCO,Normal,26,10,1,13000
2944794,GUARDIAN MOVING INC,FL,BROWARD,Normal,26,5,1,15000
2944794,GUARDIAN MOVING INC,FL,BROWARD,Normal,26,5,1,15000
3149313,2MM LINES CORP,FL,MIAMI-DADE,High Risk,26,4,1,17500
3170865,OCOEE LOGISTICS INC,FL,ORANGE,Normal,26,3,1,15000
3319090,MICHAEL MCCULLOUGH,FL,MARION,Normal,26,2,1,15000
3458352,MAPULA LOGISTICS LLC,FL,MARION,Normal,26,1,1,15000
3666322,VARELA TRANSPORTATION INC,FL,MIAMI-DADE,High Risk,26,0,1,17500
708445,MARLIN GAS SERVICES LLC,FL,PASCO,Normal,25,24,24,356000
1586099,CANADIAN SUN CORPORATION,FL,HILLSBOROUGH,Normal,25,15,15,221000
446446,ERS CORP,FL,DUVAL,Normal,25,31,9,131000
2305523,LUXURY AUTO CARRIERS INC,FL,POLK,Normal,25,10,3,47000
3156694,MORG TRUCKING LLC,FL,BREVARD,Normal,25,3,1,15000
1356596,SGWSNJ WAREHOUSING LLC,FL,BROWARD,Normal,25,17,19,281000
934910,L F CHAVEZ TRUCKING INC,FL,ORANGE,Normal,25,21,7,101000
3465622,F E P TRANSPORT INC,FL,MIAMI-DADE,High Risk,25,1,5,85500
3515007,PM3 SOLUTIONS LLC,FL,DUVAL,Normal,25,1,5,83000
3441635,STY TRANSPORT INC,FL,HILLSBOROUGH,Normal,25,2,4,66000
1902651,MILIUS TRUCKING LLC,FL,SAINT LUCIE,Normal,25,13,3,47000
2259202,K TRUCKING LLC,OR,MARION,Normal,25,10,3,47000
3141676,P&D TRANSPORT-1 LLC,FL,LEE,Normal,25,4,3,49000
3329856,EEG TRANSPORT LLC,FL,HILLSBOROUGH,Normal,25,2,3,49000
1455499,GOTTA GO TRANSPORT LLC,FL,ALACHUA,Normal,25,16,2,30000
2014341,DANNY TRUCKING INC,FL,MIAMI-DADE,High Risk,25,12,2,32500
2795586,DRQ TRANSPORT LLC,FL,HILLSBOROUGH,Normal,25,6,2,30000
3054370,AAJ EXPRESS INC,FL,MIAMI-DADE,High Risk,25,4,2,34500
3262850,FOREVER YOUNG MANAGEMENT LLC,FL,SAINT LUCIE,Normal,25,3,2,32000
3432616,J&CV INTERNATIONAL LLC,FL,MIAMI-DADE,High Risk,25,2,2,34500
3531297,JOURNEY LOGISTICS CORP,FL,SEMINOLE,Normal,25,1,2,32000
3682781,MB FLORIDA LOGISTICS LLC,FL,HILLSBOROUGH,Normal,25,0,2,32000
3693656,K & K COUSINS TRUCKING INC,FL,MIAMI-DADE,High Risk,25,0,2,34500
1699950,X-PRESS TRANSPORT SERVICES INC,FL,MIAMI-DADE,High Risk,25,14,1,15500
1705123,EMERALD COAST EXPRESS OF NORTHWEST FLORIDA LLC,FL,SANTA ROSA,Normal,25,14,1,13000
1705123,EMERALD COAST EXPRESS OF NORTHWEST FLORIDA LLC,FL,SANTA ROSA,Normal,25,14,1,13000
2048318,DM TRUCKING LLC,FL,SAINT JOHNS,Normal,25,11,1,13000
2458292,LAND'S TRANSPORTATION LLC,FL,DUVAL,Normal,25,8,1,13000
2521272,GUILLEN TRUCKING INC,FL,MIAMI-DADE,High Risk,25,7,1,15500
2843392,CAMINO ALTO LOGISTICS LLC,TX,KARNES,Normal,25,6,1,13000
2843392,CAMINO ALTO LOGISTICS LLC,TX,KARNES,Normal,25,6,1,13000
2906346,SILENT WARRIOR TRUCKING LLC,FL,DUVAL,Normal,25,5,1,15000
2925011,FREIGHT CHANNEL LLC,OR,MULTNOMAH,Normal,25,5,1,15000
3098013,ORLANDO FL TRANSPORT INC,FL,LEE,Normal,25,4,1,15000
3270292,G A SNAP LOGISTICS LLC,FL,MIAMI-DADE,High Risk,25,3,1,17500
3282048,BOOM BABY TRANSPORTS LLC,FL,SANTA ROSA,Normal,25,3,1,15000
3286374,TRUCKING BY JJV LLC,FL,SEMINOLE,Normal,25,3,1,15000
3319905,FJA TRANSPORTATION LLC,FL,PASCO,Normal,25,2,1,15000
3444632,INVERSIONES M&V SOLUCIONES INTEGRALES CA INC,FL,MIAMI-DADE,High Risk,25,1,1,17500
3448468,A & M EXPRESS TRUCKING LLC,FL,MIAMI-DADE,High Risk,25,1,1,17500
3664828,LLIV TRANSPORT LLC,FL,PALM BEACH,Normal,25,0,1,15000
3671830,F&N TRANS LLC,FL,FLAGLER,Normal,25,0,1,15000
3683484,RED ROOSTER TRUCKING LLC,FL,PALM BEACH,Normal,25,0,1,15000
938809,TRANSPORT LEASING SYSTEMS LLC,FL,SAINT JOHNS,Normal,24,21,17,251000
1185766,M C TRANSIT CO,FL,ALACHUA,Normal,24,18,1,13000
420647,SOUTHERN GLAZER'S WINE AND SPIRITS LLC,FL,MIAMI-DADE,High Risk,24,31,2821,42313500
420647,SOUTHERN GLAZER'S WINE AND SPIRITS LLC,FL,MIAMI-DADE,High Risk,24,31,2821,42313500
1639151,DTL INC,FL,MIAMI-DADE,High Risk,24,15,12,178500
3306240,JAX TRANSPORT GROUP INC,FL,DUVAL,Normal,24,2,7,103000
1062522,CHASQUI EXPRESS INC,FL,MARTIN,Normal,24,19,6,86000
3139796,US TRUCKERS CORP,FL,MIAMI-DADE,High Risk,24,4,5,85500
1982663,ARMIJO INC,FL,POLK,Normal,24,12,3,47000
3434342,RC MICHEL TRUCKING LLC,FL,BROWARD,Normal,24,2,3,49000
3147627,HM CARRIERS CORP,FL,MIAMI-DADE,High Risk,24,4,2,34500
3152354,AVENTY TRANSPORT INC,FL,HILLSBOROUGH,Normal,24,3,2,32000
3503636,PRIORITY TRANSPORTATION SYSTEMS CORP,FL,BROWARD,Normal,24,1,2,32000
3687014,L BETANCOURT LLC,FL,ORANGE,Normal,24,0,2,32000
1875989,AMEN FREIGHT SYSTEMS INC,FL,MARION,Normal,24,13,1,13000
2582098,AISERM LOGISTICS INC,FL,MIAMI-DADE,High Risk,24,7,1,15500
2838615,OTERO TRANSPORTATION COMPANY CORP,FL,MIAMI-DADE,High Risk,24,6,1,15500
2881784,SANCHEZ PUENTES GRANDES CORP,FL,MIAMI-DADE,High Risk,24,6,1,15500
3046084,AFO TRANSPORT CORP,FL,MIAMI-DADE,High Risk,24,4,1,17500
3046267,T4 TRUCKING LLC,FL,ESCAMBIA,Normal,24,4,1,15000
3173770,JES TRANSPORTATION CORP,FL,ORANGE,Normal,24,3,1,15000
3198770,RET TRANSPORT INC,FL,HILLSBOROUGH,Normal,24,3,1,15000
3229753,WILLOW HAULAGE INC,FL,BROWARD,Normal,24,3,1,15000
3295846,BEST SOLUTION TRANSPORT LLC,FL,MARION,Normal,24,3,1,15000
3298867,A&J TRUCK LINE LLC,FL,LEVY,Normal,24,3,1,15000
3472246,PIVO-FL LLC,FL,BROWARD,Normal,24,1,1,15000
3680536,HORSE TRANSPORTATION CARGO CORP,FL,MIAMI-DADE,High Risk,24,0,1,17500
3698137,ERSA LOGISTICS LLC,FL,MIAMI-DADE,High Risk,24,0,1,17500
3698137,ERSA LOGISTICS LLC,FL,MIAMI-DADE,High Risk,24,0,1,17500
1515652,A CANDIES COACHWORKS INC,FL,ALACHUA,Normal,23,16,34,506000
89837,FERRISS MOVING & STORAGE CO INC,FL,ESCAMBIA,Normal,23,48,13,191000
89837,FERRISS MOVING & STORAGE CO INC,FL,ESCAMBIA,Normal,23,48,13,191000
3308485,ELITE AUTO LOGISTICS INC,FL,PASCO,Normal,23,2,4,66000
3680923,CAMCAID TRANSPORT SERVICES LLC,FL,BREVARD,Normal,23,0,1,15000
3175523,FLORIDA OPTIMUM TRUCKING INC,FL,MIAMI-DADE,High Risk,23,3,6,90500
1658696,F & SON LLC,FL,MARION,Normal,23,14,5,81000
2393562,GREN BAL LLC,FL,DUVAL,Normal,23,9,5,81000
2533614,LCR TRUCKING CORP,FL,MIAMI-DADE,High Risk,23,7,5,83500
2273428,N SUPREME TRANSPORTATION INC,FL,PALM BEACH,Normal,23,10,4,64000
3353231,PLATON LIMITED LIABILITY COMPANY,FL,BROWARD,Normal,23,2,4,66000
2178081,ULUBEK DJURAEV,FL,FLAGLER,Normal,23,10,3,47000
2347310,SRQ TRUCKING LLC,FL,SARASOTA,Normal,23,9,3,47000
2643832,RAMOS XPRESS CORP,FL,MIAMI-DADE,High Risk,23,7,3,49500
3089443,YLM LOGISTICS INC,FL,ORANGE,Normal,23,4,3,49000
3330409,REX SOX EXPRESS LLC,FL,MIAMI-DADE,High Risk,23,2,3,51500
3036483,JL AYALA LOGISTIC INC,FL,MIAMI-DADE,High Risk,23,4,2,34500
3457599,E TRANSCARGO CORP,FL,OSCEOLA,Normal,23,1,2,32000
1475852,CINCAR TRUCKING INC,MO,SAINT LOUIS,Normal,23,16,1,13000
2369413,VENNAD INC,FL,BROWARD,Normal,23,9,1,13000
2369413,VENNAD INC,FL,BROWARD,Normal,23,9,1,13000
2532548,MEC TRANSPORTATION LLC,FL,DUVAL,Normal,23,7,1,13000
2578850,SARAGOSA TRANSPORT INC,FL,GADSDEN,Normal,23,7,1,13000
2903923,1ST RESPONSE ROADSIDE LLC,FL,ESCAMBIA,Normal,23,5,1,15000
3321773,ROYAL KING LOGISTICS LLC,FL,MIAMI-DADE,High Risk,23,2,1,17500
3330722,MELFES TRANSPORT INC,FL,MIAMI-DADE,High Risk,23,2,1,17500
3438665,LEOVA EXPRESS INC,FL,ORANGE,Normal,23,2,1,15000
3438815,NATIONAL CITY MOVERS LLC,FL,PALM BEACH,Normal,23,2,1,15000
3438815,NATIONAL CITY MOVERS LLC,FL,PALM BEACH,Normal,23,2,1,15000
3439927,MR MIKE TRUCKING LLC,FL,LAKE,Normal,23,2,1,15000
3468193,ARA TRUCK CORP,FL,MIAMI-DADE,High Risk,23,1,1,17500
578807,NUCO2 SUPPLY LLC,FL,MARTIN,Normal,23,27,195,2921000
1563071,J & M AUTO CARRIER TRANSPORT LLC,FL,MIAMI-DADE,High Risk,22,15,2,32500
2581758,O'HENRYS TRANSPORT LLC,FL,DUVAL,Normal,22,7,2,30000
2798452,US DISPATCH LLC,FL,BROWARD,Normal,22,6,2,30000
884402,CENTRAL MIAMI TRADING INC,FL,MONROE,Normal,22,22,1,13000
2424424,SUNLINE TRANSPORT INC,FL,HILLSBOROUGH,Normal,22,8,1,13000
2962502,WMR TRANSPORT LLC,FL,SANTA ROSA,Normal,22,5,1,15000
3324399,AVERHART TRANSPORT AND TOWING LLC,FL,ESCAMBIA,Normal,22,2,1,15000
3469804,CC&J TRANSPORT LLC,FL,DUVAL,Normal,22,1,1,15000
3426994,BAILEY M INC,OH,HAMILTON,Normal,22,2,7,103000
1483119,RAPID TRANSIT OF NW FL INC,FL,OKALOOSA,Normal,22,16,6,86000
3425932,TAA CORPORATION,FL,MIAMI-DADE,High Risk,22,2,4,68500
2014357,UNITRANS LLC,FL,SAINT JOHNS,Normal,22,12,3,47000
3169888,IDAN CARMEL INC,FL,BROWARD,Normal,22,3,3,49000
3169888,IDAN CARMEL INC,FL,BROWARD,Normal,22,3,3,49000
3273374,HGP TRUCKING LLC,FL,LEE,Normal,22,3,3,49000
3413412,MNM FREIGHT LLC,FL,ALACHUA,Normal,22,2,3,49000
970981,A & N TRANSPORTATION CORP,FL,HILLSBOROUGH,Normal,22,20,2,30000
2416875,ASHRAM ENTERPRISE LLC,FL,HERNANDO,Normal,22,8,2,30000
3286750,SYNERGY LOGISTICS INC,FL,HIGHLANDS,Normal,22,3,2,32000
3308089,Y & WG TRANPORT LLC,FL,MIAMI-DADE,High Risk,22,2,2,34500
3654199,NATIONWIDE SUNSHINE LLC,FL,MIAMI-DADE,High Risk,22,1,2,34500
537601,ANDREW WILLIAM CUMBIE,FL,BAY,Normal,22,28,1,13000
1559032,MAITLAND MAXWELL,FL,BROWARD,Normal,22,15,1,13000
2198704,NATIONWIDE TRUCKING INC,FL,MARION,Normal,22,10,1,13000
2330733,AMERICARRIER VAN LINE INC,FL,MIAMI-DADE,High Risk,22,9,1,15500
2330733,AMERICARRIER VAN LINE INC,FL,MIAMI-DADE,High Risk,22,9,1,15500
2332842,CCN TRUCKING INC,FL,SAINT LUCIE,Normal,22,9,1,13000
2872039,LIZ M K COMPANY LLC,FL,PINELLAS,Normal,22,6,1,13000
3432148,T-MAC TRUCKING LLC,FL,LEE,Normal,22,2,1,15000
3466433,GILBERT FREIGHT LLC,FL,MIAMI-DADE,High Risk,22,1,1,17500
3506050,GB LOGISTICS LLC,FL,MIAMI-DADE,High Risk,22,1,1,17500
3512502,YM FREEDOM TRUCKING LLC,FL,HILLSBOROUGH,Normal,22,1,1,15000
3653061,AMERICAN SIP AND REBAR CONSTRUCTION INC,FL,LAKE,Normal,22,1,1,15000
3663830,HALO FREIGHT LLC,FL,SAINT LUCIE,Normal,22,0,1,15000
3667436,BLUE & T TRANSPORTATION LLC,FL,MIAMI-DADE,High Risk,22,0,1,17500
3674741,ALC FREIGHT LLC,FL,MIAMI-DADE,High Risk,22,0,1,17500
3683466,HOMBRE ARANA TRUCKING LLC,FL,GADSDEN,Normal,22,0,1,15000
3707002,JTA FREIGHT INC,FL,MIAMI-DADE,High Risk,22,0,1,17500
1078223,BULUSA EXPRESS LLC,FL,MANATEE,Normal,21,19,7,101000
766474,GEORGIA S RATLIFF,FL,COLUMBIA,Normal,21,23,4,64000
3355445,UNIVERSAL WASTE MANAGEMENT LLC,FL,CLAY,Normal,21,2,4,66000
2924431,ARC TRUCKING CORP,TX,HARRIS,Normal,21,5,2,32000
2924431,ARC TRUCKING CORP,TX,HARRIS,Normal,21,5,2,32000
3466648,RUSH TRANSPORT 500 CORP,FL,MIAMI-DADE,High Risk,21,1,1,17500
1435406,EAGLE FLATBED SERVICE INC,FL,MIAMI-DADE,High Risk,21,16,6,88500
3434823,PHIL & 'EM TRUCKING LLC,FL,CLAY,Normal,21,2,4,66000
3642833,DD & K EXPRESS INCORPORATED,FL,PINELLAS,Normal,21,1,4,66000
2031096,JONATHAN LEE,FL,DUVAL,Normal,21,12,3,47000
2051078,EXPRESS CARGO CORP,FL,BROWARD,Normal,21,11,3,47000
2414646,C R E LOGISTIC INC,FL,SARASOTA,Normal,21,9,3,47000
943461,HERNDON BROTHERS INC,FL,DUVAL,Normal,21,21,2,30000
943461,HERNDON BROTHERS INC,FL,DUVAL,Normal,21,21,2,30000
2089820,GLAN LOGISTICS LLC,FL,SUWANNEE,Normal,21,11,2,30000
2786460,MIRTA CORPORATION,FL,PALM BEACH,Normal,21,6,2,30000
2896770,COMAR TRUCKING INC,FL,HILLSBOROUGH,Normal,21,6,2,30000
3003056,MOXIE LOGISTICS LLC,FL,BROWARD,Normal,21,5,2,32000
3028904,ROBERQUI'S TRANSPORTATION LLC,OR,WASCO,Normal,21,4,2,32000
3071967,SUN EXPRESS FL CORPORATION,FL,ORANGE,Normal,21,4,2,32000
3155139,A&M ASSURED TRANSPORT LLC,FL,MIAMI-DADE,High Risk,21,3,2,34500
3156325,GOLDLEAF & ASSOCIATES INC,FL,POLK,Normal,21,3,2,32000
3282317,MIRANDA TRUCKING LLC,NJ,HUDSON,Normal,21,3,2,32000
3308030,KNOWLES ON SITE LLC,FL,ESCAMBIA,Normal,21,2,2,32000
3370038,VITAL TRANSPORT LLC,FL,DUVAL,Normal,21,2,2,32000
3458332,YBRAVO TRUCKING LLC,FL,HILLSBOROUGH,Normal,21,1,2,32000
845803,SAMUEL COLSON,FL,GILCHRIST,Normal,21,22,1,13000
2203731,JOS & MI LLC,FL,HILLSBOROUGH,Normal,21,10,1,13000
2510622,ANGEL LIMO USA LLC,IA,LINN,Normal,21,8,1,13000
2531326,LONG LOGISTICS LLC,FL,DUVAL,Normal,21,7,1,13000
2551932,BORAY ENTERPRISES INC,FL,WASHINGTON,Normal,21,7,1,13000
2870571,RN CARIBBEAN LOGISTICS LLC,FL,MIAMI-DADE,High Risk,21,6,1,15500
3110746,AAB TRANSPORT INC,FL,MARION,Normal,21,4,1,15000
3140879,DSD TRANSPORT SERVICES INC,FL,MIAMI-DADE,High Risk,21,4,1,17500
3449350,NIKCOM TRANSPORTATION LLC,FL,MIAMI-DADE,High Risk,21,1,1,17500
3449350,NIKCOM TRANSPORTATION LLC,FL,MIAMI-DADE,High Risk,21,1,1,17500
3453430,KMY TRUCKING LLC,FL,PASCO,Normal,21,1,1,15000
3514978,NICKBOURG INC,FL,BROWARD,Normal,21,1,1,15000
3644870,ALDO'S TRUCKING LLC,FL,PINELLAS,Normal,21,1,1,15000
3658975,WALLS TRUCKING LLC,FL,SAINT JOHNS,Normal,21,1,1,15000
3683440,LUBIN LOGISTICS LLC,FL,MARION,Normal,21,0,1,15000
3717925,NOCHY TRUCKING LLC,FL,MIAMI-DADE,High Risk,21,0,1,17500
229411,LEAVINS SEAFOOD INC,FL,FRANKLIN,Normal,21,39,9,131000
1117559,WHERTEC INC,FL,DUVAL,Normal,21,19,2,30000
1771456,ACADEMY BUS LLC,FL,BROWARD,Normal,20,14,365,5471000
1771456,ACADEMY BUS LLC,FL,BROWARD,Normal,20,14,365,5471000
763024,CHAPARRAL TRUCKING INC,FL,PINELLAS,Normal,20,23,4,64000
1260100,M TARTER TRANSPORT COMPANY INC,FL,HIGHLANDS,Normal,20,17,2,30000
3680326,MTAN TRUCKING LLC,FL,BROWARD,Normal,20,0,2,32000
3437945,K & B CARRIERS LLC,FL,PALM BEACH,Normal,20,2,1,15000
3479368,CROWN AUTO CARRIERS INC,FL,SEMINOLE,Normal,20,1,1,15000
382755,SELDOMRIDGE BODY SHOP INC,FL,NASSAU,Normal,20,32,6,86000
2067307,LDT LOGISTICS INC,FL,BROWARD,Normal,20,11,6,86000
1514708,LIN ZAC RENTALS INC,FL,INDIAN RIVER,Normal,20,16,5,81000
2629857,LA CAMPANA USA LLC,FL,MIAMI-DADE,High Risk,20,7,5,83500
2906915,MADI TRANSPORTATION LLC,FL,FLAGLER,Normal,20,5,4,66000
2950882,DRAGONFLY TRUCKING INC,AL,ESCAMBIA,Normal,20,5,4,66000
3269933,GA EXPRESSTRANS LLC,OH,LICKING,Normal,20,3,3,49000
3282212,B & A LOGISTIC SERVICES CORP,FL,DUVAL,Normal,20,3,3,49000
3440319,M & B MIAMI EXPRESS INC,FL,MIAMI-DADE,High Risk,20,2,3,51500
1060330,JCL TRANSPORT INC,FL,HIGHLANDS,Normal,20,19,2,30000
1303640,MJM TRANSPORT SERVICES INC,FL,HILLSBOROUGH,Normal,20,17,2,30000
2313714,YITO TRUCKING INC,FL,MARION,Normal,20,10,2,30000
2376173,UNCLE TRUCKING LIMITED LIABILITY COMPANY,NJ,PASSAIC,Normal,20,9,2,30000
2522950,G L COURIER & LOGISTICS INC,FL,MIAMI-DADE,High Risk,20,7,2,32500
2567457,GDM EXPRESS CORP,FL,OSCEOLA,Normal,20,7,2,30000
2921925,RELIABLE TRANPORT INC,FL,ESCAMBIA,Normal,20,5,2,32000
3088378,S & M DELIVERY AND INSTALLATION LLC,FL,PALM BEACH,Normal,20,4,2,32000
3525856,ZAK EXPRESS LLC,FL,PASCO,Normal,20,1,2,32000
853766,LARRY S VOWLES,FL,GILCHRIST,Normal,20,22,1,13000
1411392,RO JR TRANSPORT INC,FL,MIAMI-DADE,High Risk,20,16,1,15500
1722388,PAPALONGA TRANSPORT LLC,FL,POLK,Normal,20,14,1,13000
1913541,JOSE T RODRIGUEZ TRUCKING,FL,OKEECHOBEE,Normal,20,12,1,13000
2531136,NORTH CAPE TRUCKING INC,FL,LEE,Normal,20,7,1,13000
2727931,FIVE TRUCK INC,FL,HILLSBOROUGH,Normal,20,6,1,13000
2792248,UBALDO BACALLAO IBARRA,TX,HARRIS,Normal,20,6,1,13000
2792248,UBALDO BACALLAO IBARRA,TX,HARRIS,Normal,20,6,1,13000
3310986,CHEESEE POND TRANSPORT LLC,FL,JACKSON,Normal,20,2,1,15000
3315202,MME TRUCKING INC,FL,MIAMI-DADE,High Risk,20,2,1,17500
3423058,YDJ TRUCKING INC,FL,OSCEOLA,Normal,20,2,1,15000
3439613,RMG CARGO INC,FL,LEE,Normal,20,2,1,15000
3443875,MERELUS TRANSPORT CORP,FL,PALM BEACH,Normal,20,1,1,15000
3458647,LJO TRUCKING CORP,FL,MIAMI-DADE,High Risk,20,1,1,17500
871533,SISTERS TOWING & TRANSPORTATION INC,FL,PALM BEACH,Normal,19,22,16,236000
2587686,GJ AUTO TRANSPORT CORP,FL,ORANGE,Normal,19,7,2,30000
2310317,KIRBY SALES INC,FL,PUTNAM,Normal,19,10,1,13000
2903150,VDV AUTO EXPRESS LLC,OR,MULTNOMAH,Normal,19,5,1,15000
1008084,DOLPHIN TRANSPORTATION SPECIALISTS INC,FL,COLLIER,Normal,15,20,72,1076000
1899193,ELIXSON TRANSPORT INC,FL,UNION,Normal,15,13,12,176000
663135,SHELNIK TRANSPORTATION INC,FL,POLK,Normal,15,25,11,161000
649070,GARLAND TRANSPORT INC,FL,DUVAL,Normal,15,25,9,131000
2468970,ROAD TRUCKS SOLUTIONS CORP,FL,MIAMI-DADE,High Risk,15,8,7,103500
1874096,G & R HEAVY HAULIN CORP,FL,MIAMI-DADE,High Risk,15,13,4,66500
3126229,R G MOTORS TRANSPORT LLC,FL,ESCAMBIA,Normal,15,4,3,49000
1318327,AFFILIATED TRANSPORT CORP,FL,ORANGE,Normal,15,17,2,30000
2926610,OTMAN TRUCKING LOGISTICS LLC,FL,HILLSBOROUGH,Normal,15,5,2,32000
2926610,OTMAN TRUCKING LOGISTICS LLC,FL,HILLSBOROUGH,Normal,15,5,2,32000
3444547,R & R TOWING PARKING MGMT,FL,JACKSON,Normal,15,1,2,32000
1280885,REINALDO FERNANDEZ,FL,MIAMI-DADE,High Risk,15,17,1,15500
2577631,NC 07 TRANSPORT LLC,FL,LEE,Normal,15,7,1,13000
429357,U-HAUL CO OF FLORIDA CORP,FL,HILLSBOROUGH,Normal,15,31,112,1676000
429357,U-HAUL CO OF FLORIDA CORP,FL,HILLSBOROUGH,Normal,15,31,112,1676000
517195,KELLEY EQUIPMENT COMPANY OF FLORIDA INC,FL,PINELLAS,Normal,15,29,49,731000
634339,LISMA LOGISTICS INC,FL,ORANGE,Normal,15,26,13,191000
2553733,FLORIDA ROADS TRUCKING LLC,FL,DUVAL,Normal,15,7,13,191000
2820232,KABIR TRUCKS LLC,FL,FLAGLER,Normal,15,6,10,146000
470933,M H L INC,FL,BROWARD,Normal,15,30,8,116000
2896130,KLASSIC LOGISTICS LLC,FL,MIAMI-DADE,High Risk,15,6,7,103500
1455547,CLAYWELL TRUCKING INC,FL,PASCO,Normal,15,16,5,81000
2258284,CONVENIENT LIFESTYLES MOVING INC,FL,BROWARD,Normal,15,10,5,81000
2258284,CONVENIENT LIFESTYLES MOVING INC,FL,BROWARD,Normal,15,10,5,81000
2988533,O W H LLC,OH,JEFFERSON,Normal,15,5,5,83000
3552249,AY EXPRESS LLC,OH,MONTGOMERY,Normal,15,1,5,83000
1661352,PRIORITY DELIVERY INC,FL,DUVAL,Normal,15,14,4,64000
1725648,MARTIN'S LARSEN FARMS INC,FL,SUMTER,Normal,15,14,4,64000
1725648,MARTIN'S LARSEN FARMS INC,FL,SUMTER,Normal,15,14,4,64000
2498982,EXPRESS LINES LOGISTICS INC,FL,PINELLAS,Normal,15,8,4,64000
2899858,MERCHANTS WHITE GLOVE SERVICES LLC,SC,GREENVILLE,Normal,15,6,4,64000
2934191,GSC EXPRESS LLC,FL,DUVAL,Normal,15,5,4,66000
3452865,BROTHER G'S LOGISTICS LLC,FL,MARION,Normal,15,1,4,66000
709496,CHRIS R LYONS,FL,LAFAYETTE,Normal,15,24,3,47000
1074003,ANDES TRUCKING CORP,FL,MIAMI-DADE,High Risk,15,19,3,49500
1268999,L&E HAULING INC,FL,HILLSBOROUGH,Normal,15,17,3,47000
1312835,PENINSULA LOGISTICS INC,FL,LAKE,Normal,15,17,3,47000
1312835,PENINSULA LOGISTICS INC,FL,LAKE,Normal,15,17,3,47000
